id_cliente,data_ref,renda,tipo_renda,tempo_emprego,sexo,idade,educacao,estado_civil,qtd_filhos,genitor_solteiro,posse_de_imovel,posse_de_veiculo,posse_imovel_e_veiculo,tipo_residencia,qt_pessoas_residencia
1,2015-10-01,1938.57,Empresário,8.35890410958904,F,52,Secundário,Solteiro,0,False,True,False,False,Casa,1.0
2,2015-10-01,5702.28,Empresário,8.35890410958904,F,52,Secundário,Solteiro,0,False,True,False,False,Casa,1.0
3,2015-06-01,8534.7,Assalariado,2.106849315068493,M,46,Superior completo,Casado,0,False,True,True,True,Casa,2.0
4,2015-05-01,3087.85,Assalariado,3.0219178082191784,F,29,Superior incompleto,Casado,0,False,False,True,False,Casa,2.0
5,2015-07-01,690.39,Assalariado,3.0219178082191784,F,29,Superior incompleto,Casado,0,False,False,True,False,Casa,2.0
7,2015-06-01,1027.64,Assalariado,4.024657534246575,F,27,Secundário,Casado,0,False,True,False,False,Casa,2.0
8,2016-02-01,373.93,Assalariado,4.438356164383562,F,30,Secundário,Solteiro,1,True,True,False,False,Casa,2.0
9,2015-03-01,1929.1,Assalariado,4.438356164383562,F,30,Secundário,Solteiro,1,True,True,False,False,Casa,2.0
10,2015-08-01,4353.68,Assalariado,3.186301369863014,M,34,Secundário,Casado,3,False,True,True,True,Casa,5.0
11,2015-02-01,3599.66,Empresário,5.523287671232877,M,32,Superior completo,Casado,1,False,True,False,False,Casa,3.0
12,2015-06-01,6858.86,Empresário,5.523287671232877,M,32,Superior completo,Casado,1,False,True,False,False,Casa,3.0
15,2015-04-01,9916.93,Empresário,12.191780821917806,M,56,Secundário,Casado,0,False,True,True,True,Casa,2.0
16,2015-10-01,25477.36,Empresário,12.191780821917806,M,56,Secundário,Casado,0,False,True,True,True,Casa,2.0
18,2015-05-01,24784.89,Empresário,12.191780821917806,M,56,Secundário,Casado,0,False,True,True,True,Casa,2.0
20,2015-06-01,3319.32,Assalariado,8.693150684931506,F,43,Secundário,Casado,2,False,True,True,True,Casa,4.0
23,2015-04-01,1537.35,Empresário,4.857534246575343,F,34,Superior completo,Casado,2,False,True,False,False,Casa,4.0
25,2015-08-01,5190.0,Empresário,4.857534246575343,F,34,Superior completo,Casado,2,False,True,False,False,Casa,4.0
27,2016-03-01,2623.59,Empresário,4.857534246575343,F,34,Superior completo,Casado,2,False,True,False,False,Casa,4.0
29,2016-01-01,1548.24,Empresário,3.690410958904109,F,46,Superior completo,Separado,0,False,True,False,False,Aluguel,1.0
30,2016-03-01,1233.58,Empresário,3.690410958904109,F,46,Superior completo,Separado,0,False,True,False,False,Aluguel,1.0
31,2015-04-01,3174.47,Empresário,8.860273972602737,F,42,Secundário,Solteiro,0,False,True,False,False,Aluguel,1.0
34,2015-10-01,3895.71,Empresário,8.860273972602737,F,42,Secundário,Solteiro,0,False,True,False,False,Aluguel,1.0
36,2015-07-01,2599.59,Empresário,8.860273972602737,F,42,Secundário,Solteiro,0,False,True,False,False,Aluguel,1.0
39,2015-11-01,5579.0,Empresário,8.860273972602737,F,42,Superior completo,Solteiro,0,False,True,False,False,Aluguel,1.0
40,2015-03-01,6738.77,Empresário,8.860273972602737,F,42,Secundário,Solteiro,0,False,True,False,False,Aluguel,1.0
41,2016-03-01,2104.86,Empresário,8.860273972602737,F,42,Secundário,Solteiro,0,False,True,False,False,Aluguel,1.0
42,2015-12-01,8966.06,Empresário,8.860273972602737,F,42,Superior completo,Solteiro,0,False,True,False,False,Aluguel,1.0
45,2015-01-01,8952.08,Empresário,13.276712328767124,F,37,Superior completo,Casado,0,False,False,False,False,Casa,2.0
46,2015-03-01,4950.65,Empresário,13.276712328767124,F,37,Superior completo,Casado,0,False,False,False,False,Casa,2.0
47,2015-11-01,4933.42,Empresário,13.276712328767124,F,37,Superior completo,Casado,0,False,False,False,False,Casa,2.0
